type,node,bytes,capacity,r_bw,w_bw,r_cost,w_cost,r_port,w_port,rw_port,area,latency
sram,65nm,2048,16384,128,128,1,1,1,1,0,0,1
sram,65nm,4096,32768,128,128,4,4,1,1,0,0,1
sram,65nm,8192,65536,128,128,10,10,1,1,0,0,1
sram,65nm,16384,131072,128,128,20,20,1,1,0,0,1
sram,65nm,65536,524288,128,128,50,50,1,1,0,0,1
dram,65nm,268435456,2147483648,64,64,500,500,0,0,1,0,10
